Review,Estrela,Data
"PELO MENOS O PRODUTO QUE CHEGOU EM MINHA CASA É PÉSSIMA QUALIDADE, BATERIA DURA MENOS DE 6 HORAS, DIFERENTEMENTE DAS ESPECIFICAÇÕES DO MANUAL. ESTOU TENDO QUE CARREGAR PELO MENOS 2 VEZES AO DIA. COMPREI COM A MULTISHOP.",1,2019-11-19
"Como estudante de educação física, fiz os testes e comparações junto a outros equipamentos e verifiquei que ela serve apenas como relógio e estímulo a atividade física de uma forma simplista. Por mais que ofereça maiores recursos com a obrigatoriedade do páreamento com o celular, não tem como precisar se a função relativa ao sono é realista, bem como os passos não são precisos, contando para mais ou para menos do que o realmente realizado e, na minha opinião, o maior ponto negativo é que a frequência cardíaca não é precisa, tendo esta função totalmente inútil em um dispositivo esportivo onde deveria ser o principal fator. Um relógio divertido que te estimula a caminhar, nada mais.",1,2020-02-04
"O relógio é bom , mais infelizmente o carregador está apresentando defeito já , na segunda vez que fui fazer o carregamento, vou ter de comprar outro carregador , pois esse já não quer mais funcionar .",1,2019-09-02
Relógio não liga e carregador não funciona avaliação permanece até que seja resolvido,1,2019-08-14
"Como vou avaliar o produto se a transportadora fez o favor de sumir com ele?? Brincadeira né BESTSALESBR e Amazon... Vocês tem tomar providências contra essa transportadora Total Express, pq ela tem um péssimo serviço",1,2020-07-30
"Logo após o unboxing, o produto ficou carregando durante mais de 5 horas sem atingir os 100%. Depois de quase mais de 7 horas removi do carregador o mesmo apresentava 99% da bateria. Não durou 1 dia. Fiz o hard reset carreguei novamente, deixei todas as configurações desabilitadas, práticamente em stand by: Mesmo resultado. Mega decepcionado.",1,2020-02-15
"Só deixando uma dica não comprem por Marketplace realizei a compra e funcionou pro 4 meses, depois parou e quando fui ver o tempo de garantia o vendedor informou que era de 3 meses, o link do produto que fiz a compra direciona para outra loja em que a garantia é de 6 meses. Não tenho mais o link da empresa que mostrava o tempo de garantia. E a amazon também negou a garantia ou seja fiquei no prejuizo. Mas ninguém me mostra o real anúncio com o tempo de garantia correto. Acho que já fazem de proposito.",1,2020-01-22
"Além de não chegar o produto,demora no reenvio,tive que pedir a devolução do do dinheiro pago pelo, produto o péssimo vendedor me prometeu o produto de brinde pelo transtorno,mas já desisti de ganhar,péssima experiência Amazon deveria rever seus parceiros e vendedores, lamentável ...  E insatisfatória esperiencia comprem em outro lugar não aconselho",1,2020-04-14
"Acredito que esse problema não seja do fabricante ou deste vendedor e sim do relógio em si, não importa onde ele seja comprado. O miband tem um problema SÉRIO com dificuldade de emparelhamento, é muito difícil conecta-lo ao celular. Se você está precisando de um smart watch para exercícios minha recomendação é procurar outro produto, pois esse é um verdadeiro estresse. Relembrando que o problema não é com o vendedor. O produto chegou super rápido e com boa qualidade. O miband em si que é ruim.",1,2020-09-06
"Produto chegou com embalagem rasgada como se já tivesse sido aberto, sendo que no anúncio diz ""original lacrado"" já começou bem errado, colocando o dispositivo para carregar pois o mesmo não dava sinal de vida, ficou 4 horas em carregamento e nem assim ligou, embalagem e produto completamente danificados.  Completa perda de tempo essa compra, ao menos a amazon trabalha com serviço de reembolso para ter um pouco menos de dor de cabeça.",1,2020-09-12
"A bateria não dura nem um dia, e eu não uso para nada!  Eu carrego e deixo parada, dá 12 horas e já descarregou.. eu odiei o produto.",1,2019-10-26
Péssimo atendimento,1,2019-09-26
Primeira vez que utilizei na Piscina o produto já apresentou defeito! Não recomendo o uso nesse ambiente.,1,2019-10-14
"Infelizmente recebí um produto com defeito e não conseguí utilizar até o momento. Também infelizmente o vendedor não está me dando a devida atenção, desde que fechou meu pedido de devolução. Lamentável... mas se não for resolvido, vou comprar outro produto igual em um marketplace concorrente. Afinal era para ser um presente de natal, ja estamos quase no carnaval e a pessoa presenteada anda não pode usar :-(",1,2020-01-16
"Depois de pouco mais de dois meses de uso, o botão home e o touch da tela pararam de funcionar do nada. Mesmo totalmente carregada, a miband só vibra e exibe notificações mas não faz nada além disso. Até o sensor de movimento que liga a tela para verificar o relógio não responde. Completamente frustrado.",1,2020-10-27
"Simplesmente não funciona, acho que veio com a bateria zerada pois não carrega. O cabo está ok testei e tem condutividade. Então deve ser o aparelho que não carrega ou a bateria que morreu. Acabei de comprar. Ele veio solto dentro da caixa sem plástico interno de proteção. Vou fazer a devolução.",1,2020-01-25
É a versão CHINESA. Só muda o idioma se utilizar um APLICATIVO DE TERCEIROS PAGO. A MiFit não consegue atualizar ela para o português. Uma pena. Ainda estou com receio de utilizar o firmware que estão disponibilizando no YouTube. ,1,2019-10-18
comprei o relógio em 4 meses ainda não chegou e pedi o rembolso não resolveram nada sobre o pedido deram a desculpa que o caminhão estragou mas não consertaram em 4 meses?não recomendo de maneira nem uma comprar desta loja,1,2020-04-18
"O produto funcionou bem no início porém, começou a marcar a distância de forma errada com diferença de em torno de 1000m a menos comparado  a outros dispositivos como o da Garmin e medido inclusive no hodômetro do carro e em aplicativos como o zeopoxa . Já reclamei e não tive retorno do fornecedor !!  Complicado e decepcionante !!",1,2020-12-28
